UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Paraná,Sul,2018,114700,208949,1309358649,2386902718,,
Santa Catarina,Sul,2018,50967,76989,581086271,878201505,,
Rio Grande do Sul,Sul,2018,123541,201142,1406227177,2292334466,,
Mato Grosso do Sul,Centro Oeste,2018,40213,83393,459249273,953018942,,
Mato Grosso,Centro Oeste,2018,44578,83956,509308168,959463305,,
Goiás,Centro Oeste,2018,83923,154152,959204019,1762446737,,
Distrito Federal,Centro Oeste,2018,28556,55565,325248472,633832483,,
Rondônia,Norte,2019,22473,44886,352042989,538545794,,
Acre,Norte,2019,12905,25788,222470620,309439185,,
Amazonas,Norte,2019,52432,104676,691202369,1255520369,,
Roraíma,Norte,2019,6543,12973,102273204,155667437,,
Pará,Norte,2019,106266,211865,1439111768,2541709452,,
Amapá,Norte,2019,12987,25968,165310910,311530808,,
Tocantins,Norte,2019,19536,39157,286450589,469635919,,
Maranhão,Nordeste,2019,93842,189153,1405466437,2270336671,,
Piauí,Nordeste,2019,38745,77772,660455621,932917603,,
Ceará,Nordeste,2019,136531,273216,2062724616,3276694304,,
Rio Grande do Norte,Nordeste,2019,42476,84935,700857253,1018709714,,
Paraíba,Nordeste,2019,57816,115694,924743088,1387837181,,
Pernambuco,Nordeste,2019,155823,311331,2223907228,3735254068,,
Alagoas,Nordeste,2019,56753,113570,968448884,1362576068,,
Sergipe,Nordeste,2019,30846,61853,535746870,741735218,,
Bahia,Nordeste,2019,224800,450127,2996049398,5399497240,,
Minas Gerais,Sudeste,2019,231758,463485,3247376740,5560231862,,
Espírito Santo,Sudeste,2019,36192,72322,462461535,868032603,,
Rio de Janeiro,Sudeste,2019,167771,335304,1632629659,4026984291,,
São Paulo,Sudeste,2019,373232,745103,4175921210,8945831972,,
Paraná,Sul,2019,105577,210574,1378671710,2526699840,,
Santa Catarina,Sul,2019,39072,78104,621000829,937409901,,
Rio Grande do Sul,Sul,2019,100999,201382,1484711951,2417644295,,
Mato Grosso do Sul,Centro Oeste,2019,42036,84184,491563526,1010119893,,
Mato Grosso,Centro Oeste,2019,41828,83425,533082563,1001061798,,
Goiás,Centro Oeste,2019,77766,155546,1021468613,1866499117,,
Distrito Federal,Centro Oeste,2019,27449,54732,338783645,657347796,,
Rondônia,Norte,2020,22296,44611,362148441,560653821,,
Acre,Norte,2020,12841,25736,231070512,323293447,,
Amazonas,Norte,2020,52960,105799,718750291,1329568421,,
Roraíma,Norte,2020,6514,12956,102890245,162842866,,
Pará,Norte,2020,107735,214755,1485573087,2697537903,,
Amapá,Norte,2020,13101,26194,171840767,329028026,,
Tocantins,Norte,2020,19767,39480,299036609,495964162,,
Maranhão,Nordeste,2020,90908,182116,1446916461,2287645478,,
Piauí,Nordeste,2020,38915,77970,695059072,979104174,,
Ceará,Nordeste,2020,139550,278742,2179362525,3500955171,,
Rio Grande do Norte,Nordeste,2020,43147,86063,734766443,1080730789,,
Paraíba,Nordeste,2020,59269,118317,979666337,1485964551,,
Pernambuco,Nordeste,2020,156910,312553,2305949895,3926946710,,
Alagoas,Nordeste,2020,55821,111797,1002065234,1404539982,,
Sergipe,Nordeste,2020,31432,62963,569230620,790557676,,
Bahia,Nordeste,2020,226868,452975,3128460224,5689778891,,
Minas Gerais,Sudeste,2020,233048,464010,3344689264,5830149377,,
Espírito Santo,Sudeste,2020,36687,73010,475479090,917578839,,
Rio de Janeiro,Sudeste,2020,171922,341276,1671062178,4292239258,,
São Paulo,Sudeste,2020,376003,747728,4298109265,9403502389,,
Paraná,Sul,2020,106878,212162,1418051412,2666753316,,
Santa Catarina,Sul,2020,39165,77898,640047422,979712679,,
Rio Grande do Sul,Sul,2020,100888,200777,1529598848,2524156206,,
Mato Grosso do Sul,Centro Oeste,2020,42461,84701,509411337,1064604881,,
Mato Grosso,Centro Oeste,2020,41913,83644,546953419,1051428141,,
Goiás,Centro Oeste,2020,78379,156610,1061462187,1968143479,,
Distrito Federal,Centro Oeste,2020,27116,54174,344516610,681453034,,
Rondônia,Norte,2021,22310,44484,379383300,587883812,,
Acre,Norte,2021,12834,25549,240617198,337495068,,
Amazonas,Norte,2021,53117,106130,757900371,1402045315,,
Roraíma,Norte,2021,6762,13431,110016549,177493769,,
Pará,Norte,2021,110660,220455,1589938736,2911957076,,
Amapá,Norte,2021,13341,26657,184496813,352107355,,
Tocantins,Norte,2021,19870,39755,316265583,525262665,,
Maranhão,Nordeste,2021,89595,179800,1517646722,2374543341,,
Piauí,Nordeste,2021,39385,78948,740765517,1042805858,,
Ceará,Nordeste,2021,141957,283569,2319868417,3745906311,,
Rio Grande do Norte,Nordeste,2021,43733,87048,773703220,1149859613,,
Paraíba,Nordeste,2021,60204,120274,1041190047,1588799610,,
Pernambuco,Nordeste,2021,156449,312570,2407042043,4129188931,,
Alagoas,Nordeste,2021,55856,112064,1061033279,1480477508,,
Sergipe,Nordeste,2021,31973,64031,608285054,845763617,,
Bahia,Nordeste,2021,227967,454986,3291542204,6010558115,,
Minas Gerais,Sudeste,2021,232505,464332,3496937661,6135712653,,
Espírito Santo,Sudeste,2021,37440,74520,501822083,984624784,,
Rio de Janeiro,Sudeste,2021,176184,349991,1752046030,4625542717,,
São Paulo,Sudeste,2021,379330,752287,4446728245,9943184718,,
Paraná,Sul,2021,107792,214191,1461181806,2830922340,,
Santa Catarina,Sul,2021,39191,78312,667822430,1035246444,,
Rio Grande do Sul,Sul,2021,101350,202557,1599754016,2677184431,,
Mato Grosso do Sul,Centro Oeste,2021,42514,84891,534082858,1121840217,,
Mato Grosso,Centro Oeste,2021,41766,83222,567030937,1099750068,,
Goiás,Centro Oeste,2021,78885,157444,1116796566,2080259396,,
Distrito Federal,Centro Oeste,2021,27138,54224,362046651,716494212,,
Rondônia,Norte,2022,22582,45101,420667032,656451803,,
Acre,Norte,2022,12967,26135,269727338,380339853,,
Amazonas,Norte,2022,55471,110535,863393704,1608631792,,
Roraíma,Norte,2022,7220,14265,124486576,207632696,,
Pará,Norte,2022,116049,231322,1816518899,3366133387,,
Amapá,Norte,2022,13925,27854,212494409,405310337,,
Tocantins,Norte,2022,20262,40759,359229203,593171355,,
Maranhão,Nordeste,2022,88425,178112,1675729378,2591583938,,
Piauí,Nordeste,2022,40049,80732,835667276,1174796633,,
Ceará,Nordeste,2022,149186,299346,2679386588,4356246336,,
Rio Grande do Norte,Nordeste,2022,45006,90444,873082302,1316214117,,
Paraíba,Nordeste,2022,62086,124541,1178542077,1812438719,,
Pernambuco,Nordeste,2022,161658,323631,2726458450,4709928008,,
Alagoas,Nordeste,2022,56448,113294,1185445151,1648887120,,
Sergipe,Nordeste,2022,33027,66562,696372936,968641426,,
Bahia,Nordeste,2022,235418,470750,3727333300,6850980195,,
Minas Gerais,Sudeste,2022,238631,479608,3988435063,6980935203,,
Espírito Santo,Sudeste,2022,39277,78249,572330915,1139018408,,
Rio de Janeiro,Sudeste,2022,187859,372542,2056000281,5423697550,,
São Paulo,Sudeste,2022,400221,797104,5107205748,11604543001,,
Paraná,Sul,2022,110989,221202,1639761223,3220156198,,
Santa Catarina,Sul,2022,40450,81261,761805799,1183009679,,
Rio Grande do Sul,Sul,2022,104513,209631,1821978593,3051993724,,
Mato Grosso do Sul,Centro Oeste,2022,43837,87330,606762034,1271195176,,
Mato Grosso,Centro Oeste,2022,43359,86077,641602478,1252926033,,
Goiás,Centro Oeste,2022,81202,161751,1258135441,2354531309,,
Distrito Federal,Centro Oeste,2022,27730,55399,409133233,806393258,,
Rondônia,Norte,2023,24360,49397,496979749,779552372,,
Acre,Norte,2023,14066,28540,318681567,450321077,,
Amazonas,Norte,2023,61506,123891,1051072264,1955131523,,
Roraíma,Norte,2023,9006,17635,154154696,278342654,,
Pará,Norte,2023,129153,260306,2214394269,4107171365,,
Amapá,Norte,2023,15428,31322,264219950,494219499,,
Tocantins,Norte,2023,22043,44932,435378661,709058100,,
Maranhão,Nordeste,2023,92615,187573,1949208845,2958847818,,
Piauí,Nordeste,2023,43384,88212,995730745,1391733783,,
Ceará,Nordeste,2023,165765,335177,3257215600,5288676254,,
Rio Grande do Norte,Nordeste,2023,50078,101179,1050914672,1596452086,,
Paraíba,Nordeste,2023,68101,137812,1416885150,2174448800,,
Pernambuco,Nordeste,2023,176703,355129,3234848027,5603737333,,
Alagoas,Nordeste,2023,59012,119391,1358000610,1883940173,,
Sergipe,Nordeste,2023,35767,72318,817282944,1141009421,,
Bahia,Nordeste,2023,255590,514070,4432758294,8111775493,,
Minas Gerais,Sudeste,2023,261580,526798,4782662981,8314163636,,
Espírito Santo,Sudeste,2023,44300,89211,710725119,1408162897,,
Rio de Janeiro,Sudeste,2023,214742,427229,2610788245,6744938957,,
São Paulo,Sudeste,2023,444307,886940,6155093660,14000824379,,
Paraná,Sul,2023,120375,241353,1924920809,3809858106,,
Santa Catarina,Sul,2023,44714,90671,921909291,1431193740,,
Rio Grande do Sul,Sul,2023,114584,231403,2177594431,3652962174,,
Mato Grosso do Sul,Centro Oeste,2023,47640,95579,719986695,1508579300,,
Mato Grosso,Centro Oeste,2023,46876,94110,754269966,1485392376,,
Goiás,Centro Oeste,2023,89181,179892,1516288509,2839127953,,
Distrito Federal,Centro Oeste,2023,31168,62887,506756886,992592236,,
