UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Rio de Janeiro,Sudeste,2006,23328,66634,195060616,560399521,,
São Paulo,Sudeste,2006,83535,192722,691789300,1600517665,,
Paraná,Sul,2006,29666,56712,247484753,472723000,,
Santa Catarina,Sul,2006,9577,15618,81267964,131844171,,
Rio Grande do Sul,Sul,2006,26420,48252,219913373,402902319,,
Mato Grosso do Sul,Centro Oeste,2006,8635,22809,71914186,189912393,,
Mato Grosso,Centro Oeste,2006,14283,28974,117306392,239173791,,
Goiás,Centro Oeste,2006,20825,42821,172851054,356984754,,
Distrito Federal,Centro Oeste,2006,7399,14079,61122948,116788630,,
Rondônia,Norte,2007,14534,26187,65215263,117505336,,
Acre,Norte,2007,8974,12604,40164996,56454699,,
Amazonas,Norte,2007,33564,56548,150612486,253784125,,
Roraíma,Norte,2007,3646,5663,16386469,25440000,,
Pará,Norte,2007,65269,118243,292930971,530809777,,
Amapá,Norte,2007,5906,13028,26483999,58441875,,
Tocantins,Norte,2007,13599,26172,61006368,117442358,,
Maranhão,Nordeste,2007,61708,124666,276790082,559463629,,
Piauí,Nordeste,2007,23676,33550,106164767,150463032,,
Ceará,Nordeste,2007,78630,129675,352206574,581137922,,
Rio Grande do Norte,Nordeste,2007,31393,42915,140586536,192266922,,
Paraíba,Nordeste,2007,40033,61981,179259141,277510154,,
Pernambuco,Nordeste,2007,106190,184582,475754247,827483102,,
Alagoas,Nordeste,2007,35611,62094,159854230,278726768,,
Sergipe,Nordeste,2007,19732,29886,88322756,133824730,,
Bahia,Nordeste,2007,130508,253362,584920839,1136020646,,
Minas Gerais,Sudeste,2007,150030,270509,671920646,1212271130,,
Espírito Santo,Sudeste,2007,20644,38139,92439250,170914009,,
Rio de Janeiro,Sudeste,2007,53222,154614,238735980,693825633,,
São Paulo,Sudeste,2007,181221,421532,812019780,1890113111,,
Paraná,Sul,2007,66363,126439,297663222,567206989,,
Santa Catarina,Sul,2007,22795,36555,102269001,163989774,,
